i,LSOA11CD_props,area_props,area_total,LSOA11CD_majority
75663,"['E01032794', 'E01017993', 'E01018005', 'E01032795', 'E01017966', 'E01017996', 'E01018002', 'E01017987', 'E01017965', 'E01018001', 'E01017985', 'E01017995', 'E01018003', 'E01017992', 'E01017988']","[0.304, 0.137, 0.128, 0.117, 0.111, 0.075, 0.055, 0.033, 0.012, 0.011, 0.008, 0.006, 0.003, 0.0, 0.0]",4000000.0,E01032794
75664,"['E01032797', 'E01017983', 'E01017943', 'E01018010', 'E01017989', 'E01017988', 'E01017991', 'E01018005', 'E01017990', 'E01032792', 'E01017987', 'E01018009', 'E01017958', 'E01017950', 'E01017998', 'E01017986', 'E01018001', 'E01017985', 'E01018008', 'E01017945', 'E01018000', 'E01017997', 'E01032802']","[0.311, 0.112, 0.069, 0.052, 0.052, 0.048, 0.046, 0.044, 0.044, 0.036, 0.034, 0.028, 0.025, 0.021, 0.021, 0.011, 0.011, 0.011, 0.01, 0.007, 0.003, 0.002, 0.002]",4000000.0,E01032797
75665,"['E01018007', 'E01017978', 'E01017976', 'E01017975', 'E01017973', 'E01018006', 'E01017954', 'E01017977', 'E01017952', 'E01018008', 'E01017974', 'E01018009', 'E01032802', 'E01032792', 'E01017980', 'E01017979', 'E01017953', 'E01018274', 'E01033120', 'E01017949', 'E01033121', 'E01017951', 'E01017971', 'E01018010', 'E01017950', 'E01017945', 'E01017972', 'E01017943']","[0.126, 0.084, 0.077, 0.069, 0.069, 0.067, 0.057, 0.055, 0.053, 0.049, 0.045, 0.045, 0.041, 0.03, 0.028, 0.026, 0.022, 0.015, 0.011, 0.009, 0.006, 0.004, 0.003, 0.002, 0.002, 0.001, 0.001, 0.001]",4000000.0,E01018007
75666,"['E01018259', 'E01018274', 'E01033121', 'E01017980', 'E01017979', 'E01018272', 'E01033120', 'E01017975']","[0.555, 0.333, 0.046, 0.025, 0.018, 0.017, 0.006, 0.001]",4000000.0,E01018259
75667,"['E01018259', 'E01018300', 'E01018257', 'E01018262', 'E01018272']","[0.454, 0.302, 0.201, 0.026, 0.017]",4000000.0,E01018259
75668,"['E01018233', 'E01018236', 'E01018300', 'E01018262', 'E01018234', 'E01018235', 'E01018257']","[0.371, 0.257, 0.196, 0.08, 0.035, 0.031, 0.029]",4000000.0,E01018233
75669,"['E01018233', 'E01018234', 'E01018235', 'E01018236']","[0.884, 0.071, 0.026, 0.019]",4000000.0,E01018233
75670,"['E01018233', 'E01018037']","[0.983, 0.017]",4000000.0,E01018233
75671,"['E01018037', 'E01018233', 'E01018053']","[0.883, 0.103, 0.013]",4000000.0,E01018037
75672,"['E01018037', 'E01018036']","[0.691, 0.309]",4000000.0,E01018037
75673,"['E01018038', 'E01018037', 'E01018036']","[0.829, 0.099, 0.072]",4000000.0,E01018038
75674,"['E01018038', 'E01018056', 'E01018055', 'E01018022']","[0.4, 0.308, 0.193, 0.1]",4000000.0,E01018038
75675,"['E01018022', 'E01018056']","[0.765, 0.235]",4000000.0,E01018022
75676,"['E01018022', 'E01018062', 'E01018020']","[0.89, 0.074, 0.036]",3948905.8,E01018022
75677,"['E01018062', 'E01018022', 'E01018020']","[0.718, 0.161, 0.121]",3990104.8,E01018062
75678,"['E01018076', 'E01018062']","[0.593, 0.407]",4000000.0,E01018076
75679,"['E01018111', 'E01018062', 'E01018076']","[0.458, 0.309, 0.234]",4000000.0,E01018111
75680,['E01018111'],[1.0],4000000.0,E01018111
75681,"['E01018111', 'E01018076']","[1.0, 0.0]",4000000.0,E01018111
75682,"['E01018078', 'E01018111', 'E01018068']","[0.54, 0.454, 0.006]",4000000.0,E01018078
75683,"['E01018078', 'E01018068']","[0.846, 0.154]",4000000.0,E01018078
75684,"['E01018078', 'E01018068']","[0.566, 0.434]",4000000.0,E01018078
75685,['E01018068'],[1.0],4000000.0,E01018068
75686,['E01018068'],[1.0],4000000.0,E01018068
75687,"['E01018068', 'E01018066']","[0.721, 0.279]",4000000.0,E01018068
75688,"['E01018066', 'E01033111', 'E01018068', 'E01018067', 'E01018070']","[0.536, 0.273, 0.177, 0.012, 0.003]",4000000.0,E01018066
75689,"['E01033111', 'E01018093', 'E01018070', 'E01033112', 'E01018071', 'E01018066', 'E01018067', 'E01018063', 'E01018069']","[0.476, 0.243, 0.192, 0.057, 0.014, 0.006, 0.005, 0.004, 0.003]",3949394.6,E01033111
75690,"['E01018093', 'E01018096', 'E01018063', 'E01018108', 'E01018107', 'E01026720', 'E01033112', 'E01018094', 'E01018109', 'E01018071']","[0.327, 0.231, 0.15, 0.113, 0.067, 0.044, 0.034, 0.029, 0.005, 0.0]",3910458.6,E01018093
75691,"['E01026720', 'E01018096', 'E01018097', 'E01018094', 'E01018108']","[0.472, 0.348, 0.153, 0.027, 0.0]",3887013.0,E01026720
75692,"['E01018097', 'E01026720', 'E01018095']","[0.58, 0.386, 0.034]",3859305.1,E01018097
75693,"['E01018097', 'E01026720', 'E01026719']","[0.92, 0.056, 0.024]",3856672.2,E01018097
75694,"['E01026254', 'E01018097', 'E01026719']","[0.827, 0.173, 0.0]",3988962.0,E01026254
75695,"['E01026279', 'E01026256', 'E01026254']","[0.53, 0.326, 0.144]",4000000.0,E01026279
75696,"['E01026278', 'E01026256', 'E01026279', 'E01026255']","[0.418, 0.303, 0.242, 0.038]",4000000.0,E01026278
75697,"['E01026278', 'E01026256']","[0.658, 0.342]",4000000.0,E01026278
75698,"['E01026256', 'E01026246', 'E01026278']","[0.989, 0.011, 0.001]",4000000.0,E01026256
75699,"['E01026246', 'E01026256']","[0.976, 0.024]",4000000.0,E01026246
75700,['E01026246'],[1.0],4000000.0,E01026246
75701,['E01026246'],[1.0],3666894.8,E01026246
75702,"['E01026246', 'E01026248']","[0.975, 0.025]",117196.7,E01026246
75709,"['E01026023', 'E01026024', 'E01026009']","[0.634, 0.186, 0.18]",1480987.7,E01026023
75710,['E01026023'],[1.0],3973832.3,E01026023
75711,"['E01026111', 'E01026023']","[0.564, 0.436]",4000000.0,E01026111
75712,['E01026111'],[1.0],4000000.0,E01026111
75713,"['E01026111', 'E01026110']","[0.998, 0.002]",4000000.0,E01026111
75714,"['E01026110', 'E01026111']","[0.956, 0.044]",4000000.0,E01026110
75715,"['E01026056', 'E01026110', 'E01026055']","[0.719, 0.281, 0.001]",4000000.0,E01026056
75716,"['E01026055', 'E01026056']","[0.815, 0.185]",4000000.0,E01026055
75717,"['E01026055', 'E01026113']","[0.972, 0.028]",4000000.0,E01026055
75718,"['E01026113', 'E01026055', 'E01026068']","[0.783, 0.149, 0.068]",4000000.0,E01026113
75719,"['E01026113', 'E01026068']","[0.85, 0.15]",4000000.0,E01026113
75720,"['E01026113', 'E01026068']","[0.91, 0.09]",4000000.0,E01026113
75721,['E01026113'],[1.0],4000000.0,E01026113
75722,"['E01026113', 'E01026043', 'E01026044', 'E01026042']","[0.555, 0.285, 0.138, 0.021]",4000000.0,E01026113
75723,"['E01026044', 'E01026042', 'E01026117', 'E01026043']","[0.392, 0.298, 0.237, 0.073]",4000000.0,E01026044
75724,['E01026117'],[1.0],4000000.0,E01026117
75725,['E01026117'],[1.0],4000000.0,E01026117
75726,['E01026117'],[1.0],4000000.0,E01026117
75727,"['E01026117', 'E01026099']","[0.892, 0.108]",4000000.0,E01026117
75728,"['E01026099', 'E01026117']","[0.671, 0.329]",4000000.0,E01026099
75729,"['E01026099', 'E01026117']","[0.958, 0.042]",4000000.0,E01026099
75730,['E01026099'],[1.0],4000000.0,E01026099
75731,['E01026099'],[1.0],3950818.6,E01026099
75732,['E01026099'],[1.0],3356483.5,E01026099
75733,"['E01026099', 'E01026079']","[0.523, 0.477]",1483397.0,E01026099
75734,['E01026079'],[1.0],292022.7,E01026079
75911,"['E01021071', 'E01021079', 'E01021070', 'E01021082', 'E01021069', 'E01021081', 'E01021080', 'E01021077']","[0.379, 0.186, 0.173, 0.088, 0.084, 0.072, 0.016, 0.0]",1049968.4,E01021071
75912,"['E01021083', 'E01021082', 'E01021081', 'E01021069', 'E01021077', 'E01021075', 'E01021057', 'E01021070']","[0.365, 0.338, 0.098, 0.083, 0.074, 0.022, 0.019, 0.001]",3970572.0,E01021083
75913,"['E01021057', 'E01021083', 'E01021082']","[0.827, 0.132, 0.041]",4000000.0,E01021057
75914,"['E01021057', 'E01021143']","[0.783, 0.217]",4000000.0,E01021057
75915,"['E01021057', 'E01021143']","[0.995, 0.005]",4000000.0,E01021057
75916,"['E01021057', 'E01021054']","[0.987, 0.013]",4000000.0,E01021057
75917,"['E01021054', 'E01021148', 'E01021057', 'E01021147']","[0.436, 0.386, 0.178, 0.0]",4000000.0,E01021054
75918,"['E01021054', 'E01021148']","[0.54, 0.46]",4000000.0,E01021054
75919,"['E01021054', 'E01021165', 'E01021148']","[0.896, 0.066, 0.038]",4000000.0,E01021054
75920,"['E01021165', 'E01021148', 'E01021054']","[0.905, 0.062, 0.033]",4000000.0,E01021165
75921,"['E01021165', 'E01021227', 'E01021170', 'E01021148']","[0.603, 0.201, 0.196, 0.0]",4000000.0,E01021165
75922,"['E01021170', 'E01021228', 'E01021227', 'E01021221', 'E01021220', 'E01021222', 'E01021219', 'E01021223', 'E01021165', 'E01021224']","[0.228, 0.164, 0.15, 0.148, 0.126, 0.075, 0.055, 0.048, 0.005, 0.001]",4000000.0,E01021170
75923,"['E01021144', 'E01021225', 'E01021224', 'E01021226', 'E01021146', 'E01021223', 'E01021220', 'E01021219', 'E01021170']","[0.36, 0.202, 0.182, 0.104, 0.074, 0.05, 0.019, 0.005, 0.004]",4000000.0,E01021144
75924,"['E01021146', 'E01021144', 'E01021187']","[0.513, 0.286, 0.201]",4000000.0,E01021146
75925,"['E01021187', 'E01021145', 'E01021144']","[0.665, 0.306, 0.029]",4000000.0,E01021187
75926,"['E01021187', 'E01021145', 'E01021173']","[0.92, 0.075, 0.005]",4000000.0,E01021187
75927,"['E01021173', 'E01021187', 'E01021145', 'E01021159']","[0.567, 0.43, 0.001, 0.001]",4000000.0,E01021173
75928,"['E01021187', 'E01021173']","[0.838, 0.162]",4000000.0,E01021187
75929,"['E01021187', 'E01021186', 'E01021173']","[0.77, 0.229, 0.001]",4000000.0,E01021187
75930,"['E01021186', 'E01021187']","[0.879, 0.121]",4000000.0,E01021186
75931,"['E01021186', 'E01021169', 'E01021172']","[0.678, 0.275, 0.047]",4000000.0,E01021186
75932,"['E01024420', 'E01021169', 'E01021172']","[0.529, 0.439, 0.031]",4000000.0,E01024420
75933,"['E01024420', 'E01024455']","[0.927, 0.073]",4000000.0,E01024420
75934,"['E01024420', 'E01024455', 'E01024427']","[0.855, 0.144, 0.001]",4000000.0,E01024420
75935,"['E01024420', 'E01024455', 'E01024427']","[0.856, 0.142, 0.001]",4000000.0,E01024420
75936,"['E01024420', 'E01024455', 'E01024419']","[0.705, 0.181, 0.113]",4000000.0,E01024420
75937,"['E01024419', 'E01024455']","[0.97, 0.03]",4000000.0,E01024419
75938,"['E01024419', 'E01024417']","[0.974, 0.026]",4000000.0,E01024419
75939,"['E01024419', 'E01024417']","[0.587, 0.413]",4000000.0,E01024419
75940,"['E01024417', 'E01024419', 'E01024416']","[0.817, 0.138, 0.046]",4000000.0,E01024417
75941,"['E01024440', 'E01024416', 'E01024417']","[0.39, 0.324, 0.286]",4000000.0,E01024440
75942,"['E01024440', 'E01000680', 'E01024439']","[0.662, 0.174, 0.164]",4000000.0,E01024440
75943,"['E01000680', 'E01024439', 'E01000688']","[0.627, 0.327, 0.046]",4000000.0,E01000680
75944,"['E01000680', 'E01000685', 'E01000786', 'E01000795', 'E01000793', 'E01000688', 'E01000794']","[0.469, 0.238, 0.16, 0.054, 0.046, 0.028, 0.004]",4000000.0,E01000680
